"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,11 Dec 2022 04:00:00 to 12 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
6420014,,YELLOW TAIL BUBBLES 750ML,,,,,11.99,
,,,,,,,,
8306,,-2.99  P43 1 FOR $9.00,,,,,,
,,,,,,,,
8306,,P43 1 FOR $9.00,,,,,,
,,,,,,,,
,,,,,2,,-5.98,
,,GST Subtotal,,,,,18,
,,,,,,,,
,,GST Amount,,,,,1.6400000000000001,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,18,
,,,,,,,,6310137
2022-12-11 12:31:09,,,201.0,615784,TODD K,,,
,,,,,,,,
6400040,,STONELEIGH SAUV BLANC,,,,,19.990000000000002,
,,,,,,,,
8298,,-4.99  P43 1 FOR $15.00,,,,,,
,,,,,,,,
8298,,P43 1 FOR $15.00,,,,,-4.99,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,15,
,,GST Amount,,,,,1.36,
,,EFTPOS,,,,,15,
,,,,,,,,6627
2022-12-11 12:31:57,,,202.0,191574,TODD K,,,
,,,,,,,,
6030061,,CORONA MEX STUB CTN,,,,,66.99,
,,,,,,,,
8345,,-4.99  P43 1 FOR $62.00,,,,,,
,,,,,,,,
6420043,,G BURGE PINOT NOIR CHARD SPK,,,,,31.990000000000002,
,,,,,,,,
,,,,,,,,
6660,,-11.99  P49 1 FOR $20.00,,,,,,
8345,,P43 1 FOR $62.00,,,,,-4.99,
6660,,P49 1 FOR $20.00,,,,,-11.99,
,,GST Subtotal,,,,,82,
,,GST Amount,,,,,7.45,
,,EFTPOS,,,,,82,
,,,,,,,,
2022-12-11 12:33:09,,,202.0,191575,TODD K,,,
,,,,,,,,
,,,,,,,,
6030172,,4 PINES JAPAN LAGER CAN 6PK,,,,,19.990000000000002,
,,ROUNDING,,,,,0.01,
,,GST Subtotal,,,,,19.990000000000002,
,,GST Amount,,,,,1.82,
,,CASH,,,,,20,
,,,,,,,,
2022-12-11 12:33:16,,,201.0,615785,TODD K,,,2022-12-11 12:59:14
6410548,,OUTBACK JACK CAB MERLOT,,,,,,
,,,,,3,,16.47,
422,,-4.47  OUTBACK JACK 3 FOR $12,,,,,,6210503
6698,,-9.99  P49 1 FOR $70.00,,,,,,
6698,,P49 1 FOR $70.00,,,,,-9.99,
,,,,,,,,
,,GST Subtotal,,,,,154.99,
,,,,,,,,
,,GST Amount,,,,,14.09,
,,,,,,,,
,,EFTPOS,,,,,154.99,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-11 13:03:10,,,202.0,191587,TODD K,,,
,,,,,,,,
6400106,,YELLOW TAIL PINOT GRIGIO,,,,,11.99,
,,,,,,,,
8314,,-2.39  P43 1 FOR $9.00,,,,,,
,,5% BSHOP L.LEGEND,,,,,-0.6,
,,,,,,,,
6310257,,JDANIEL DBL JACK CAN 4PK,,,,,27.490000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.37,
,,,,,,,,
8314,,P43 1 FOR $9.00,,,,,-2.39,
,,,,,,,,
,,GST Subtotal,,,,,35.12,
,,,,,,,,
,,GST Amount,,,,,3.19,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,35.12,
,,,,,,,,
,,,,,,,,
2022-12-11 13:05:11,,,201.0,615788,TODD K,,,
,,,,,,,,
6310096,,BUNDY OP/COLA 6.0% CAN 6PK,,,,,36.99,
,,,,,,,,
,,GST Subtotal,,,,,36.99,
,,,,,,,,
,,GST Amount,,,,,3.36,
,,,,,,,,
,,EFTPOS,,,,,36.99,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-11 13:07:01,,,202.0,191588,TODD K,,,
,,,,,,,,
6040292,,GOAT LAGER BEER CAN 6PK,,,,,18.990000000000002,
,,,,,,,,
,,ROUNDING,,,,,0.01,
,,,,,,,,
,,GST Subtotal,,,,,18.990000000000002,
,,GST Amount,,,,,1.73,
,,,,,,,,
,,CASH,,,,,50,
,,,,,,,,
,,Change,,,,,31,
,,,,,,,,
,,,,,,,,
,,,,,,,,5329
2022-12-11 13:07:25,,,202.0,191589,TODD K,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-11 13:08:48,,,201.0,615789,TODD K,,,
,,,,,,,,
6210491,,YAMAZAKI 12YO SUNTORY WHISKY,,,,,399.99,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-20,
,,,,,,,,
,,-14.95  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
